feature,1,2,3,4,5,6,7,8,9,10
stats_varcount,0.01993183452865256,0.021107212974937978,0.023067266586013453,0.023703630137181957,0.022936208968926286,0.02318724076925919,0.021367234031614293,0.025267369602455507,0.020732962167287993,0.022059676139778387
stats_var_bool,6.349239816219604e-05,6.993265856006105e-05,8.065689653177907e-05,7.34470234449769e-05,0.0,0.00014133526541596422,5.569224506626939e-05,6.458148170022137e-05,6.586639184091633e-05,0.00010383453675241707
stats_var_discrete,0.02014426329001564,0.020087185847636236,0.0224522417555591,0.022190772220982702,0.021077573072490884,0.018597695696660595,0.02014044789246383,0.021329393327203204,0.01828109583901565,0.022302281149704346
stats_var_bound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_var_sparsebound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_dom_0,0.007331604126010685,0.00647269803986727,0.006524072834961028,0.005600806375735792,0.008451545762259722,0.007637680990041255,0.006957662965696038,0.006923424800774209,0.0067327535284143454,0.006613308064123578
stats_dom_25,0.007330442720741523,0.006638063206012026,0.0069596343133021205,0.006714049297493321,0.008193130673572156,0.006817069541621613,0.00785473782847536,0.0060803095018441625,0.007330051551634625,0.008588999026903568
stats_dom_50,0.005825842184679464,0.0042151456705297645,0.005526627001796283,0.005273829348164124,0.004492975276228833,0.004014791124229785,0.006422776411903286,0.005007930917614115,0.004280559448672481,0.0034929200115518273
stats_dom_75,0.007081400717252222,0.006074259487185278,0.007185661009722481,0.00790012066764045,0.006987000210056854,0.006199181523797379,0.005001567128904966,0.007191475013329782,0.0060300354601751475,0.0070037213330451376
stats_dom_100,0.00481621318699026,0.004197906190027112,0.006489114599468411,0.007949200897906909,0.007834582042471307,0.006157769420103624,0.005838675520934871,0.005987964248874636,0.00840586132285637,0.008258346904763602
stats_dom_mean,0.005526250627897614,0.005645615345249076,0.005428789340626487,0.005102278726455045,0.005132944149996484,0.004599894783202144,0.006111311722361762,0.0048992407709672935,0.006563903436795246,0.0052294377638706984
stats_dom_not2_2_ratio,0.00044024658986365563,0.000548654814240909,0.00016823174933495793,0.0003091714966395493,0.0004687050831607531,0.000462493303165554,0.00046164982290803155,0.0005136130294244591,0.00043132790880638384,0.0002135805455945891
stats_discrete_bool_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_branchingvars,0.019656381129827333,0.020865273167557694,0.022195938062295972,0.025718950961700023,0.023504153233631395,0.024460761136721663,0.023254019152487343,0.023961663899672365,0.022284295609394163,0.022830330148201627
stats_auxvars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_auxvar_branching_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_conscount,0.013625356772213404,0.014167901870839225,0.013651423581697129,0.014723382220614973,0.014260342095831149,0.013652371606045616,0.015923096758025196,0.01439867650095844,0.013719862153689968,0.014689017354267631
stats_arity_0,0.0009672489981456416,0.0006532288656243944,0.0008119147142337585,0.0011168199357789626,0.0009722413360180012,0.0009823253966052,0.0005116698036270737,0.0007562656645028183,0.0008108569560022916,0.0007802062910141068
stats_arity_25,0.0005535916657263717,0.0007245362713891261,0.0010251043425277863,0.0003610987971622603,0.0006168194324826161,0.0007998190419771621,0.0007716796281879645,0.0007830827579913248,0.0007495267790715881,0.000981953499309998
stats_arity_50,0.0009742701084712202,0.0007917140677662854,0.0005325856196444776,0.0006468841666211627,0.0006847033949506478,0.0010732886660185174,0.0008970347156821561,0.0005586792046756953,0.0008894412664531769,0.0008271938884961835
stats_arity_75,0.002315955176680889,0.0018759118712396727,0.0015101925003411312,0.0011741172071538907,0.001345065773121045,0.0015930950106009078,0.001799665124040951,0.0012880512121235279,0.0020307798512650805,0.0016335697889016411
stats_arity_100,0.0013320023005505266,0.0010979188868074272,0.0013768186050674488,0.0010322855454926387,0.0018842167113306714,0.001611930048449846,0.001250372140590058,0.0014933120400554202,0.0012694219277630443,0.0021390910073856967
stats_arity_mean,0.002271864208510449,0.0020766693425709106,0.0020882761796834895,0.002504651777647172,0.0025805375827441497,0.0042524755663497105,0.002058086267654404,0.0023885032368735327,0.003241572440754196,0.0034657524303603987
stats_arity_mean_normalised,0.019182177016350156,0.0163614532978215,0.016245682224041113,0.014433267133025453,0.017688559408322712,0.018079580269960108,0.016290530499349313,0.020085595502764824,0.01536377243130429,0.0173705459472573
stats_cts_per_var_mean,0.005511420294144729,0.006765315796118269,0.006985938487470578,0.005816312424083811,0.006862755858729686,0.006859304131721008,0.006858323913771059,0.007863461287865525,0.008314949923121519,0.008566826860603118
stats_cts_per_var_mean_normalised,0.01678463533607362,0.01578294432590019,0.01429837274142138,0.01760151509963601,0.013183230385710652,0.014093938214297094,0.01565752089226827,0.01683550157596031,0.014473042128907071,0.015206420001421965
stats_alldiff_count,0.0004623941474724273,0.00037163314235631896,0.00040046027592017234,0.00023371282088735997,0.0002898181659973225,0.000443353864304818,0.0004900191837837337,0.00048006412307750906,0.00036873250835875774,0.0001085269180128183
stats_alldiff_proportion,0.00022349663483361103,0.00015190122073017177,0.00011331738713602747,0.0001387238089563205,9.664561124532823e-05,0.0003270710375151554,0.00037185853560210827,0.00028209030193872156,0.0002670603688506975,0.00016567719012768032
stats_sums_count,0.00040905939410882416,0.00042134828517341726,0.0005839933113308604,0.000873836443610807,0.0005201943885310319,0.00031931753560307546,0.000375032910121412,0.00048681466910705965,0.0003795482198215275,0.00038866539839395867
stats_sums_proportion,0.0009795665368467746,0.0006622056941368761,0.0009117354243367508,0.0010545021551745225,0.00103759214062537,0.0010742352408697885,0.0008920029714532787,0.00048777871165099005,0.0005385985799154392,0.0008072560607460889
stats_or_atleastk_count,0.00031116273189361437,0.0007191569545201674,0.0005745492671353489,0.00040050592046671305,0.0005246828341669086,0.0004137660767242671,0.0005623359679967125,0.0005093706187055769,0.0005977717750362907,0.0008410046508009368
stats_or_atleastk_proportion,0.0006313347859130779,0.0006215535130184103,0.0010233662896164716,0.0006364648779981852,0.0006039110450189389,0.0007721521106308346,0.0005831499468263467,0.00060562061780159,0.0007162005293222237,0.00047821259092941515
stats_ternary_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_ternary_proportion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_binary_count,0.002600350833527797,0.002804252712250705,0.002906889359673697,0.0025409107698485416,0.0028368583618135932,0.0031439057481933512,0.003428504704379449,0.003239057222522902,0.0027205498351623504,0.0025930015119971796
stats_binary_proportion,0.0027790927021936872,0.00281016825231948,0.00262670235188412,0.0018027541432381088,0.003447829938039476,0.0019233140939703467,0.0026965752996242626,0.0033692770621995887,0.001909552466287899,0.003401565293626064
stats_reify_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_reify_proportion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_table_count,0.03385210871927996,0.0281301304311904,0.032344117974607414,0.02837783834249668,0.030979048435268015,0.03656149128164452,0.03214463307304009,0.030193987244736657,0.032167764434995486,0.030281716860087907
stats_table_proportion,0.003160092096732472,0.003216942577824965,0.005830164223551976,0.004069485493823855,0.002813311709568216,0.0037126733528563133,0.0038388306711868102,0.0032022437017017336,0.004974492833301294,0.004488243557207796
stats_lex_count,0.00011407741918116866,0.00017979225408479684,0.00026437373756753036,0.0004456959422692277,0.0003602105169359115,5.8246416549650686e-05,0.00014517834280192946,0.00034542061485595574,0.0001694627588709242,0.00044810026970726547
stats_lex_proportion,0.0006467462159288285,0.00041940350632957326,0.0007152620392592924,0.0004155897816506405,0.0005668011352291606,0.0008860405419037831,0.0003733898832855068,0.0003425536887590071,0.0005881946134760113,0.00032779336771237866
stats_unary_count,0.0009955267836477032,0.0006094069163568757,0.0008227973099189085,0.0010296268610448663,0.0012634283210146875,0.0008748634969473798,0.0010295531244738502,0.0010006629314870384,0.0011476599663784695,0.0008788033715233643
stats_unary_proportion,0.0008417364362866098,0.0008805451571703921,0.000608684553276505,0.0009731546610195377,0.0008698937696340083,0.0008337509242480538,0.0008799449754387862,0.0010490715784635674,0.0005985562536846851,0.0005078913780464044
stats_nullary_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_nullary_proportion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_element_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_element_proportion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_minmax_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_minmax_proportion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_occurrence_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_occurrence_proportion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stats_multi_shared_vars,0.002724924063720796,0.0028304536947102656,0.0033387356374135545,0.0034755123602699385,0.003056975715642708,0.0027910454696520527,0.002480350347735226,0.002526028245158576,0.0024906536208046935,0.003090361290051414
stats_edge_density,0.010839833631713215,0.009985435916690176,0.008787671158491469,0.010397358731239576,0.008865624514990077,0.00795465990003517,0.008895487784490608,0.009700493223969342,0.010214618288836703,0.008466795644178071
stats_Local_Variance,0.006478244492505229,0.006804013706731505,0.0069253844077727614,0.005240838843691926,0.006096191480981946,0.005263621333461867,0.0058649123480974084,0.004944552179244356,0.006103591284963228,0.0056568172776954055
stats_tightness_0,0.006191853739219976,0.004351888364997667,0.005733209361540923,0.003080973447384841,0.004462184562578409,0.004487639734536501,0.005154025546116843,0.005437937667083774,0.0038221063844940746,0.00382038336894561
stats_tightness_25,0.002994392172783084,0.002417055984411537,0.00294280544961089,0.0027332377933172547,0.002732071633612023,0.0023542087879144242,0.003093013595014515,0.0028891001294786326,0.002437267387208287,0.002794540988661931
stats_tightness_50,0.003692030848838334,0.0032546889103804563,0.0033694604584338017,0.002603448143692954,0.002946331827277864,0.0030459402963829655,0.003103318473105522,0.0028659225086576133,0.0031711084572169355,0.0029547086476319827
stats_tightness_75,0.003966233993104284,0.0026471038631195928,0.003858349502809555,0.003773368115946025,0.003475208933450732,0.00312443124759465,0.003621266405752677,0.0032492815745510367,0.002936599803644304,0.003611543244922804
stats_tightness_100,0.008029546351639208,0.006784580265170057,0.006756044144990351,0.006266991154878912,0.007320854488684519,0.007799563747205291,0.006481628988965445,0.006403872728903472,0.004932700535852454,0.006144463304187173
stats_tightness_mean,0.00609343425179137,0.006897637069031823,0.006584923348170093,0.006353948025149056,0.00835748831778278,0.0063157782621345625,0.005097775096231806,0.006084434551402866,0.0058378534087157805,0.005842213003517673
stats_tightness_mean_normalised,0.008109011202099139,0.008493448444313873,0.00973742418926928,0.007788468686699625,0.009795071529583957,0.009139717538473681,0.010598743569763414,0.009939628436502868,0.010316383229959349,0.009168721090277315
standard_deviation_of_node_degree,0.006836747639429575,0.0054745991586813226,0.005670649255374518,0.00490305375357063,0.006422752079693842,0.005607807934545423,0.005264737151631705,0.005318132242399427,0.0054914310811091036,0.005495648211843196
normalised_standard_deviation_of_node_degree,0.007594211759997945,0.007927784203438547,0.0076876156526341655,0.007817318661444974,0.007375029862178602,0.008317758068348023,0.00868256220926363,0.00867434848107448,0.007607057965963419,0.007363986235008383
clustering_coefficient,0.010014155784776239,0.010300161570112836,0.009242506039002955,0.007945485794979197,0.008243289581443485,0.007661426913804489,0.008862704240456935,0.007418223704556418,0.00840804751903634,0.009037448133981685
minimum_degree,0.0061059323442419974,0.005323279679812974,0.006475508085471538,0.005703926675571775,0.005876062513091034,0.006577811108832737,0.00532383148056591,0.007574109395963352,0.005598302857200868,0.005855463630945676
normalised_minimum_degree,0.00451598322990295,0.002956412500398184,0.004204154829606894,0.004412249453655665,0.004099941468511443,0.003909168623017153,0.0035622046719209657,0.0029069844144808277,0.003926200542974975,0.004193925482541491
maximum_degree,0.004097966989829188,0.005136138888150026,0.006393124241072678,0.006112866585658764,0.005051276751791861,0.004344035365227539,0.006315288468160904,0.004980952614428553,0.004542782721271164,0.005335177940327934
normalised_maximum_degree,0.00961725954449615,0.010193170481282987,0.008857364769786574,0.012490876417844953,0.012241377054906478,0.012333945632870366,0.009554734047333127,0.009664547235244743,0.010334148665901242,0.009923116665919118
median_degree,0.004127547803533502,0.005462514334686083,0.004704778492055603,0.006385356267476859,0.005225261608775735,0.005812988480124884,0.00447378187218084,0.003269426461156897,0.006451289585286053,0.004495568325291434
normalised_median_degree,0.007676871139786448,0.007907182427281483,0.007626361157213528,0.008436188425373041,0.006933342565202276,0.006584959403272171,0.005871123246284956,0.008003436498100886,0.006764012213314011,0.006892538287864733
mean_degree,0.009546848402019005,0.013909153189965075,0.011662626519919131,0.01214540539576548,0.00950740975202018,0.01169684975702057,0.011313082395294471,0.008919478714936596,0.010345567147331506,0.009076837230444912
normalised_mean_degree,0.012050136973720501,0.012476974345924735,0.011228130876095466,0.01723089318901293,0.012561754493215532,0.013194065346803787,0.013180196325724758,0.011865685372334855,0.011794005765712089,0.012471901240223786
width_of_ordering,0.00618009218766972,0.004801263771638049,0.005848243369991102,0.0047191633322191135,0.004527974181807511,0.004533520956786855,0.004770043314548713,0.004403526717173781,0.004196686078380333,0.0046613239025619976
normalised_width_of_ordering,0.012198026348191832,0.012666953791557417,0.009374100236443405,0.013364819310571213,0.010617634186612785,0.01348458882999147,0.012376023746340215,0.012881776963083073,0.011463134363198024,0.009569614787857606
width_of_graph,0.0049038857441444155,0.004073799728126927,0.003014662955938521,0.004906293634773595,0.0037112468059705365,0.0036041609936842047,0.00493990411505939,0.004924110377951549,0.00423498226617416,0.004159626629675752
normalised_width_of_graph,0.009732360061571773,0.008262589723303078,0.010549080951431089,0.009711358268973201,0.008907081596324648,0.010093398288875953,0.009278098635123293,0.010298207457049027,0.00802070573345427,0.009557180392720754
SAC_literals,0.0025017288901264347,0.0032160547979973603,0.003612317349895934,0.0032092246915242863,0.003161052177244645,0.0028228092047127688,0.0033734907113821123,0.004547216313963235,0.0032584376524336846,0.002212011219899887
normalised_SAC_literals,0.0031918914021941956,0.003977808753823266,0.003902318829237908,0.0038518609210256133,0.00346232999485275,0.00344071207031232,0.004175848715427571,0.003923912184320888,0.0029925256408084603,0.0028672214530141254
stats_literal_tightness_0,0.0072824046198905505,0.004680916384964758,0.00519165816766638,0.005189921233026509,0.005805560306473035,0.005691789812295057,0.005970998516168655,0.006004518648467473,0.004977921375017387,0.006003817132902436
stats_literal_tightness_25,0.006326327774273677,0.005890703403514535,0.006280303402461172,0.005428862129733085,0.005154303004979707,0.007008864178625431,0.005976672181651961,0.006051754825452654,0.005684564160901054,0.006841839077670184
stats_literal_tightness_50,0.005677467506742232,0.004847543367623211,0.005156048846349015,0.004009973221555254,0.004561781410275539,0.0040278071808099065,0.004292250679253092,0.004196824455052618,0.0060711664387414835,0.005553218779916146
stats_literal_tightness_75,0.0051090286938988054,0.004750555850037736,0.004943812391306513,0.005227233091775595,0.004402892311985275,0.005193633928962599,0.005169326576667495,0.0051595129819253256,0.005895625388204811,0.007021831617713165
stats_literal_tightness_100,0.00472975160719918,0.00659135853553066,0.005845448999237638,0.0040599183815318825,0.0042814576125834,0.005971941786446655,0.005577993537736231,0.0052593316211072124,0.004931085104807908,0.005840676976548102
