feature,1,2,3,4,5,6,7,8,9,10
EXIST_VARS,0.007870768023636338,0.006186196634999411,0.007602768094420355,0.005934016150059117,0.005564032579132881,0.007709014803838652,0.00600696992419456,0.005258800753866345,0.005795443545593534,0.006471999806342154
FORALL_VARS,0.006503941644924905,0.006249678987269367,0.006275563736835943,0.0067236475978052716,0.006557793278067466,0.007140102121786678,0.005559452696487985,0.006294733279939954,0.006695770642246462,0.0063449215505464686
TOTAL_VARS,0.006162689800812287,0.0059403668705769064,0.006198133806632944,0.006490159726124513,0.0061622396687582,0.005218260819510322,0.0068965986110156524,0.006198099521396031,0.006445341142198945,0.005589839078545279
CLAUSES,0.005035743145908269,0.005446585195287491,0.005939558061000071,0.005822499277135439,0.0056738517983111495,0.006698039103161856,0.005518798496342488,0.005078666143836562,0.004998859197495792,0.005757039455319128
LITERALS,0.0067332326772328345,0.0073091349464249914,0.007719672441058318,0.008540802417717295,0.00633925500320018,0.008115767127054925,0.006752980666746331,0.007949869103941146,0.0067591664436480745,0.006470974896247563
EXIST_SET,0.0015515153388885557,0.0016830934624781115,0.0020596774790880954,0.0014572010583997906,0.001514823807486953,0.0015524862036731372,0.0013168772492317593,0.001261040341310927,0.0019170593493558856,0.0014567306343370111
FORALL_SET,0.001972465265796635,0.0015987553451093622,0.001624378858078154,0.0014939737883369216,0.0015944957499889393,0.0015147962868073445,0.0011263551995609805,0.0014937471168604602,0.001835632217545276,0.0019789949333655224
TOTAL_SET,0.001987506610963079,0.0015771671091402639,0.0018033912605178192,0.001756906339061048,0.0014741832845219045,0.002198819752565556,0.0018376813828721223,0.0017994301153351079,0.0022356151790730375,0.0018915642829993053
UNARY_CLAUSES,0.0021881704903471627,0.002231329876545954,0.00178537422264255,0.002503498689359641,0.002678906582008068,0.0028066316844856795,0.002382971798641972,0.002413221611596014,0.0022270998100492076,0.0024854088717649117
BINARY_CLAUSES,0.006155094831463884,0.005175165431001152,0.006050241683448169,0.0050685491381298325,0.004986735389841805,0.00427277904128454,0.0056818249182514265,0.005376674563258976,0.006050152865291954,0.00524521118586093
TERNARY_MORE_CLAUSES,0.0082759137869382,0.00860393292072269,0.00899998097050002,0.010093626084154643,0.007925701228751556,0.009486512831703648,0.008848177463152942,0.0078027571289251575,0.009886202386952125,0.010893736038660014
POS_HORN,0.009657331149023387,0.01061793121823785,0.010503422950365637,0.010806205581764651,0.012613544634106619,0.010612327695391374,0.010544387189967877,0.007772565074682759,0.009370351539382624,0.009298447183610347
NEG_HORN,0.01002656989558811,0.008829941360143286,0.010357182675845752,0.010798086299097195,0.011366264501271947,0.009550647355236423,0.008963964723898883,0.008468876250299233,0.00746712952430005,0.00873527560168536
EXIST_LIT_PER_CLAUSE,0.006655487348972733,0.005669809375578742,0.0055666406395675685,0.005007274172530191,0.005491437745108942,0.004838711526765728,0.005704987307438352,0.006140776781637772,0.006049796701670148,0.005757147836473729
