feature,1,2,3,4,5,6,7,8,9,10
nvarsOrig,0.0006261978208163665,0.0006811147387680675,0.0006447680677253646,0.0007989138574985455,0.0006457040585956592,0.0007206960351807053,0.0005946042755861359,0.0007539219831575028,0.0005841587627944816,0.0006847658934905338
nclausesOrig,0.0013408497780953697,0.001607520362982345,0.001371012301247894,0.0013947876106462798,0.001515668609464823,0.0013918634113656745,0.0013577589006662887,0.001612579456039503,0.001616128291920035,0.0014262813338374518
nvars,0.00048774978277347315,0.0005790024672058838,0.0006178232505611035,0.0006284296464585856,0.0005657232761710251,0.0005308704043897998,0.0005062473518184832,0.0005245399532759317,0.000523515049012745,0.0005677343376933099
nclauses,0.001251511939245383,0.0010455253228351565,0.0013547559521636865,0.001140533713484036,0.0013531597387382286,0.0012945863849504727,0.0012098375324223227,0.0011181128561912042,0.0011467521397014778,0.001203818177724682
reducedVars,0.0014110413434705023,0.00136610195743205,0.001231184791586107,0.0017440287727921396,0.001348503306608335,0.0013708313371094368,0.0013848389399246418,0.001520354858908068,0.0011288362662501528,0.0014030497523111743
reducedClauses,0.0016155458037650134,0.0017145349372137254,0.001655794639413968,0.001495112664868911,0.0014459563147889796,0.0012599171616756088,0.0014751321697373191,0.0013890995806317397,0.0018401568133928807,0.0015460364532392543
vars_clauses_ratio,0.0009152980797245775,0.0008754647166294289,0.0008126894954938989,0.0007763623837377339,0.0006948847024065087,0.0009244098907906773,0.0010169589253647994,0.0009119725430956167,0.0012016280713336306,0.001002264439182123
POSNEG_RATIO_CLAUSE_mean,0.0006316288456990303,0.0006401093157985304,0.0005642672957762386,0.0005694743744092289,0.0005782602682650471,0.0005614273232129287,0.0005716536841448067,0.0005449736933022267,0.0005386418681919086,0.0005879849116916913
POSNEG_RATIO_CLAUSE_coeff_variation,0.0007043703610018169,0.0005943072902498519,0.0006302012120491853,0.0006065375999575459,0.0007080134888828878,0.0006140027675281558,0.0005376168438446101,0.0006249911578042696,0.0006068852509814215,0.0006251330445137737
POSNEG_RATIO_CLAUSE_min,0.00021036993533214333,0.00015366240397459213,0.00020981989947862448,0.0002630760183570807,0.0003063092501833397,0.00016847776658431176,0.00020206999196117735,0.00015918410139542644,0.0001321142943337644,0.0001754526808832442
