scenario,rho_stab_mean,rho_stab_std,n_fold_pairs
CSP-2010,0.9818954674171338,0.0038907183113869,45
QBF-2011,0.910477952513105,0.0214529691747479,45
SAT12-ALL,0.9537289178043696,0.0052912683583051,45
